case_number,location,state
2015.06.30.a,"Isle of Palms County Park, Isle of Palms, Charleston County",SC
2015.06.27.b,"Rodanthe, Dare County",NC
2015.06.26.c,"Jacksonville Beach, Duval County",FL
2015.06.26.a,"South Beach, Hunting Island State Park, Beaufort County",SC
2015.06.25,"Avon, Hatteras Island, Outer Banks, Dare County",NC
2015.06.24.b,Surf City,NC
2015.06.23,"St. Helena Island, Beaufort County",SC
2015.06.17,Daytona Beach Shores,FL
2015.06.14.b,"Oak Island, Brunswick County",NC
2015.06.14.a,"Oak Island, Brunswick County",NC
2015.06.13,Off San Diego,CA
2015.06.11,"Ocean Isle, Brunswick County",NC
2015.06.07,"Lori Wilson Park, Cocoa Beach, Brevard  County",FL
2015.06.05,Fort Lauderdale,FL
2015.05.29.b,"Cocoa Beach, Brevard  County",FL
2015.05.29.a,"New Smyrna Beach, Volusia County",FL
2015.05.24,"Cocoa Beach, Brevard  County",FL
2015.05.20,"New Smyrna Beach, Volusia County",FL
2015.05.15,Sullivan's Island,SC
2015.05.07,"Cocoa Beach, Brevard  County",FL
2015.04.29,Kanahena Cove ,HI
2015.04.26,"Resident's Beach, Marco Island",FL
2015.04.13,"Florida Keys, Monroe County",FL
2015.04.03,"3 miles off Jupiter, Palm Beach County",FL
2015.03.18,Hapuna Beach,HI
2015.01.27,Lahaina,HI
2015.01.19.b,Off Panama City,FL
2015.01.01,"Windsor Beach, Indian River County",FL
2014.12.28.b,"Montaña de Oro State Park, San Luis Obispo County ",CA
2014.11.17,"Franklin Point, San Mateo County",CA
2014.11.16,"Indian Harbor Beach, Brevard County",FL
2014.11.13,"Airplane Beach, Lahina, West Maui",HI
2014.11.08,"Fort Pierce Inlet State Park, St. Lucie County",FL
2014.10.31,"North Kohala, Hawaii County",HI
2014.10.22,"Kihei, Maui",HI
2014.10.20,"Kahului, Maui",HI
2014.10.19,"Leadbetter Beach, Santa Barbara County",CA
2014.10.18,"Maalaea, South Maui",HI
2014.10.14,"Hilton Head Island, Beaufort County",SC
2014.10.12,"Melbourne Beach, Brevard County",FL
2014.10.05.b,"New Smyrna Beach, Volusia County",FL
2014.10.07,"Cherie Down Park, Brevard County",FL
2014.10.05.a,"New Smyrna Beach, Volusia County",FL
2014.10.03.b,Santa Barbara County,CA
2014.10.03.a,Santa Barbara County,CA
2014.10.02.b,"Walls Beach, Vandenberg AFB, Santa Barbara County",CA
2014.09.21,"New Smyrna Beach, Volusia County",FL
2014.09.13,"Manresa State Beach, Santa Cruz County",CA
2014.09.06,"Katrina Cut, Dauphin Island, Mobile County",AL
2014.09.03,"Manomet Point, Plymouth, Plymouth County",MA
2014.09.02,"Fletcher Beach, Hutchinson Island, Martin County",FL
2014.08.31,"New Smyrna Beach, Volusia County",FL
2014.08.29.b,"Ponce Inlet, Volusia County",FL
2014.08.29.a,"Atlantic Beach, Duval County",FL
2014.08.28,Assateague National Seashore,MD
2014.08.27.b,"Figure Eight Island,  New Hanover County",NC
2014.08.27.a,"Surfside Beach, Horry  County",SC
2014.08.25,Apalachicola Bay ,FL
2014.08.24,"Off Masonboro Island, New Hanover County",NC
2014.08.12,"3 to 4 miles west of Indian Pass, Gulf County",FL
2014.08.10,"Hallandale Beach, Broward County",FL
2014.08.09,"Lori Wilson Park, Cocoa Beach, Brevard  County",FL
2014.08.08,"Lake Ponchartain off Southshore Harbor, New Orleans",LA
2014.08.06,"Folly Beach, Charleston County",SC
2014.08.05,"Cocoa Beach, Brevard  County",FL
2014.08.02,"South of Cocoa Beach, Brevard County",FL
2014.07.27,"Sunset Beach, Brunswick County",NC
2014.07.21,"Indialantic, Brevard County",FL
2014.07.16,"Paia Bay, Maui",HI
2014.07.14,Okaloosa Island,FL
2014.07.12,"Masonboro Island, New Hanover County",NC
2014.07.09,"New Smyrna Beach, Volusia County",FL
2014.07.05.b,"Manhattan Beach, Los Angeles County",CA
2014.07.05.a,"Oceano Dunes State Beach, San Luis Obispo County",CA
2014.07.03,"Isle of Palms, Charleston County",SC
2014.06.09.b,"Cape Henlopen State Park, Sussex County",DE
2014.06.07,"West Beach, Galveston",TX
2014.06.01.c,Fort Lauderdale,FL
2014.05.15,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",FL
2014.05.13,"Jacksonville Beach, Duval County",FL
2014.05.11,"Tybee Island, Chatham County",GA
2014.05.10.R,"Bethel Shoals, Indian River County",FL
2014.05.06,"Coligny Beach, Hilton Head, Beaufort County",SC
2014.05.01,"New Smyrna Beach, Volusia County",FL
2014.04.22,"Cocoa Beach, Brevard  County",FL
2014.04.15,"New Smyrna Beach, Volusia County",FL
2014.04.04.b,"New Smyrna Beach, Volusia County",FL
2014.04.04.a,"New Smyrna Beach, Volusia County",FL
2014.03.22.a,Delray Beach,FL
2014.03.21,Macarthur State Park,FL
2014.03.02,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",FL
2013.12.11,"Ninole Bay, Hawaii County",HI
2013.12.10,"Cocoa Beach, Brevard  County",FL
2013.12.02,"Between  Makena & Molokini, Maui",HI
2013.11.29,"Keawekapu Beach, Kihei, Maui",HI
2013.11.22,"Gleneden Beach, Lincoln County",OR
2013.11.07.b,"Bay Head, Ocean County",NJ
2013.11.07.a,"Floridana Beach, Brevard County",FL
2013.10.31,"Kanaha Beach, Maui",HI
2013.10.23,"Waiehu, Maui",HI
2013.10.20,"Pila'a Beach, Kaua'i",HI
2013.10.19,Miami Beach,FL
2013.10.05,"Bunkers, Humboldt Bay, Eureka, Humboldt County",CA
2013.09.29.b,"Melbourne Beach, Brevard County",FL
2013.09.25,"Panama City, Bay County",FL
2013.09.21.b,"Ormond Beach, Volusia County",FL
2013.09.21.a,"Carlin Park, Jupiter, Palm Beach County",FL
2013.09.14,"Casino Beach, Pensacola, Escambia County",FL
2013.09.12,"New Smyrna Beach,  Volusia County",FL
2013.09.08,"St. Helena Island, Beaufort County",SC
2013.09.07.b,"New Smyrna Beach,  Volusia County",FL
2013.09.07.a,"New Smyrna Beach,  Volusia County",FL
2013.09.02,"Ormond Beach, Volusia County",FL
2013.09.01.c,Key West Aquarium,FL
2013.09.01.a,"St Augustine Beach, St Johns County",FL
2013.08.31.a,"Butterfly Beach, Montecito, Santa Barbara County",CA
2013.08.29,Catalina Channel,CA
2013.08.25.b,"Winterhaven Park,           Ponce Inlet, Volusia County",FL
2013.08.18,Pohoiki ,HI
2013.08.17,"Pillar Point, Half-Moon Bay, San Mateo County",CA
2013.08.14,"Makenat, Maui",HI
2013.08.13,"Ka'a Point, Maui",HI
2013.08.11,Folly Beach,SC
2013.08.05,"Sanibel Island, Lee County",FL
2013.07.31,"Ulua Beach, Maui",HI
2013.07.30,"Isle of Palms, Charleston County",SC
2013.07.29.a,"White Plains Beach, Oahu",HI
2013.07.19,"Gulf Shores, Baldwin County",AL
2013.07.17.R,"Butler Beach, St Augustine,       St. Johns County",FL
2013.07.11,Holden Beach. Brunswick County,NC
2013.06.25.c,"Pacific State , San Mateo County",CA
2013.06.25.b,"Jacksonville, Duval County",FL
2013.06.25.a,"Kiawah Island, Charleston County",SC
2013.06.18,Kona Coast State Park,HI
2013.06.17,"Surfside Beach, Brazoria County",TX
2013.06.15,"Atlantic Beach, Duval County",FL
2013.06.14.R,"Myrtle Beach, Horry County",SC
2013.06.06.b,"Off Snipe Point, Florida Keys, Monroe County",FL
2013.05.27.b,"Halewia, Oahu",HI
2013.05.27.a,"Ormond Beach, Volusia County",FL
2013.05.08.b,"Tourmaline Surf Park, San Diego County",CA
2013.05.04.a,"Melbourne Beach, Brevard County",FL
2013.04.17,"Near Boynton Beach, Palm Beach County",FL
2013.04.13.b,"New Smyrna Beach, Volusia County",FL
2013.04.04,"Jensen Beach, Martin County ",FL
2013.04.02.a,Ka’anapali Shores,HI
2013.02.21.b,"Ka'anapali, Honokowai, Maui",HI
2013.02.21.a,"Paia Bay, Maui",HI
2013.02.10,"""Stuart Rocks"", Martin County",FL
2013.01.16,Kiholo Bay,HI
2012.12.31,"Jensen Beach, Martin County ",FL
2012.12.05,Kauai,HI
2012.11.30,"Kihei, Maui",HI
2012.11.19,"Melbourne Beach, Brevard County",FL
2012.11.04.b,"Makena Landing, Maui",HI
2012.11.04.a,"Davidson's Surf Break, Kekaha, Kaua'i",HI
2012.10.30,"Humboldt Bay, Eureka, Humboldt County",CA
2012.10.27,"Makena Landing, Maui",HI
2012.10.23,"Surf Beach, Lompoc, Santa Barbara County",CA
2012.10.19,"Seaport, Brevard County",FL
2012.10.18.b,"Ponce Inlet, Volusia County",FL
2012.10.18.a,"Kanaha Beach, Maui",HI
2012.10.16,Hobe Sound,FL
2012.10.07,"Davenport Landing, Santa Cruz County",CA
2012.09.25,"Melbourne Beach, Brevard County",FL
2012.09.24,"Spanish House Beach, Brevard County",FL
2012.09.16," Cocoa Beach, Brevard  County",FL
2012.09.09,"New Smyrna Beach, Volusia County",FL
2012.09.08.b,"Lori Wilson Park, Cocoa Beach, Brevard  County",FL
2012.09.08.a,"South Beach, Miami-Dade County",FL
2012.09.06.b,"Neptune Beach, Duval County",FL
2012.09.06.a,"St. Augustine Beach, St. John's County",FL
2012.09.04,"Melbourne Beach, Brevard County",FL
2012.09.02.b,"New Smyrna Beach, Volusia County",FL
2012.09.02.a,"New Smyrna Beach, Volusia County",FL
2012.08.15,"Gulf Shores, Baldwin County",AL
2012.08.09,Key Largo,FL
2012.07.31.b,"Topanga Beach, Los Angeles County",CA
2012.07.30.b,"Maha‘ulepu Beach, Kauai",HI
2012.07.30.a,"Ballston Beach, Truro, Cape Cod",MA
2012.07.24,"Ocean Isle, Brunswick County",NC
2012.07.08,"North Topsail Beach, Onslow County",NC
2012.07.07.a,"Pleasure Point, Santa Cruz County",CA
2012.06.26.c,"Juno Beach, Palm Beach County",FL
2012.06.26.b,"New Smyrna Beach, Volusia County",FL
2012.06.26.a,"Kahana Beach, Maui",HI
2012.06.22.a,"Bathtub Reef  Beach, Stuart, Martin County",FL
2012.06.19,"Myrtle Beach, Horry County",SC
2012.06.18,"Ocean Isle, Brunswick County",NC
2012.06.15,"Summerland Key, Monroe County",FL
2012.06.14.d,"Myrtle Beach, Horry County",SC
2012.06.14.c,"Myrtle Beach, Horry County",SC
2012.06.14.b,"Myrtle Beach, Horry County",SC
2012.06.14.a,"Myrtle Beach, Horry County",SC
2012.06.02.b,"Bethune Beach, Volusia County",FL
2012.06.02.a,"Myrtle Beach, Horry County",SC
2012.05.31,"Avon, Hatteras Island, Outer Banks, Dare County",NC
2012.05.23,"Jacksonville, Duval County",FL
2012.05.20,"Iroquiois Point, Oahu",HI
2012.05.12,"Leffingwell Landing, Cambria,  San Luis Obispo County",CA
2012.05.09,"Vero Beach, Indian River County",FL
2012.05.06,Off Catalina Island,CA
2012.04.19.b,"Indialantic, Brevard County",FL
2012.04.03,"Leftovers near Chun's Reef, Oahu",HI
2012.04.00,"Sanibel Island, Lee County",FL
2012.03.24,"New Smyrna Beach, Volusia County",FL
2012.03.15,"Jensen Beach, Martin County ",FL
2012.03.14.b,"New Smyrna Beach, Volusia County",FL
2012.03.14.a,"New Smyrna Beach, Volusia County",FL
2012.03.04,"Playalinda Beach, Brevard County",FL
2012.02.26,"Palm Beach Inlet, Palm Beach County",FL
2012.01.27,Lanai,HI
2012.01.13,"Lincoln City, Lincoln County",OR
2011.12.31,"Jupiter, Palm Beach County",FL
2011.12.23,New Smyrna Beach,FL
2011.12.21.b,"Makahuena Point, Kauai",HI
2011.12.06,Seaside Cove,OR
2011.11.22,Pigeon Point,CA
2011.10.29.,"Marina State Beach, Monterey County",CA
2011.10.20,"Newport, Lincoln County",OR
2011.10.11,Cape Canaveral,FL
2011.10.10,Seaside,OR
